student_email,course_id,sec_no,exam_no,grades
aa2256@nittany.edu,CMPEN331,2,1,82
aa2256@nittany.edu,DS220,1,1,82
ab1769@nittany.edu,DS220,1,1,70
ab1769@nittany.edu,CMPSC461,1,1,67
ab1769@nittany.edu,CMPSC132,1,1,99
ab2069@nittany.edu,EE353,2,1,97
ab2069@nittany.edu,DS120,1,1,72
ab2069@nittany.edu,EE320,2,1,84
ab3016@nittany.edu,MATH141,1,1,65
ab3016@nittany.edu,CMPEN411,2,1,76
ab3016@nittany.edu,MATH230,2,1,82
ab3353@nittany.edu,IST110,1,1,68
ab3353@nittany.edu,DS120,1,1,85
ab3353@nittany.edu,CMPSC448,1,1,67
ab3717@nittany.edu,CHEM110,1,1,69
ab3717@nittany.edu,EE353,2,1,85
ab3717@nittany.edu,CMPEN362,1,1,88
ab4479@nittany.edu,EE212,2,1,62
ab4479@nittany.edu,EE211,1,1,94
ab4636@nittany.edu,CMPSC311,2,1,61
ab4636@nittany.edu,STAT318,2,1,70
ab5104@nittany.edu,CSE543,2,1,61
ab5104@nittany.edu,MATH141,1,1,62
ab8172@nittany.edu,CMPSC465,1,1,91
ab8172@nittany.edu,CMPEN362,2,1,68
ab8172@nittany.edu,EE210,1,1,83
ab8389@nittany.edu,CMPEN441,2,1,92
ab8389@nittany.edu,CMPEN351,2,1,95
ab8389@nittany.edu,PHYS214,1,1,100
ab8825@nittany.edu,PHYS211,1,1,63
ab8825@nittany.edu,CMPEN270,1,1,79
ab8825@nittany.edu,STAT319,2,1,61
ab9912@nittany.edu,MATH140,2,1,64
ab9912@nittany.edu,CHEM110,1,1,95
ab9912@nittany.edu,CMPSC475,2,1,87
ac5862@nittany.edu,IST110,1,1,72
ac5862@nittany.edu,CMPEN441,1,1,73
ac5862@nittany.edu,CMPSC465,2,1,76
ac6117@nittany.edu,CSE583,2,1,81
ac6117@nittany.edu,CMPEN441,2,1,71
ac6117@nittany.edu,CMPSC461,1,1,98
ad9791@nittany.edu,EE311,1,1,61
ad9791@nittany.edu,CHEM111,2,1,93
ad9791@nittany.edu,CSE543,1,1,68
ae4536@nittany.edu,STAT319,1,1,80
ae5810@nittany.edu,CMPEN270,1,1,61
ae5810@nittany.edu,STAT415,1,1,94
ae5810@nittany.edu,CHEM111,2,1,86
af2362@nittany.edu,EE211,2,1,97
af2362@nittany.edu,CMPSC360,2,1,93
af2362@nittany.edu,MATH231,2,1,66
af8503@nittany.edu,MATH230,2,1,75
af8503@nittany.edu,STAT415,2,1,69
af8503@nittany.edu,CMPEN331,1,1,76
ag1594@nittany.edu,CMPEN331,1,1,68
ag1594@nittany.edu,MATH231,1,1,95
ag1594@nittany.edu,CMPEN270,2,1,89
ag2003@nittany.edu,ECON102,1,1,76
ag2003@nittany.edu,CMPEN431,2,1,73
ag2003@nittany.edu,CSE583,2,1,85
ag4144@nittany.edu,MATH231,1,1,67
ag4144@nittany.edu,DS220,2,1,71
ag4144@nittany.edu,CHEM112,1,1,90
ag4728@nittany.edu,DS220,1,1,90
ag4728@nittany.edu,CMPSC448,1,1,73
ag4728@nittany.edu,MATH231,1,1,85
ag5931@nittany.edu,STAT415,1,1,92
ag5931@nittany.edu,CMPEN431,1,1,61
ag5931@nittany.edu,CSE583,2,1,72
ah1893@nittany.edu,CMPEN351,2,1,99
ah1893@nittany.edu,PHYS213,1,1,93
ah1893@nittany.edu,EE311,1,1,86
ah2132@nittany.edu,CMPEN411,2,1,100
ah2567@nittany.edu,CMPEN351,2,1,62
ah2567@nittany.edu,MATH230,2,1,79
ah3078@nittany.edu,EE353,2,1,73
ah3078@nittany.edu,CMPSC448,1,1,70
ah4627@nittany.edu,IST128,2,1,75
ah4627@nittany.edu,IST110,1,1,84
ah4627@nittany.edu,CMPSC132,1,1,80
ah5707@nittany.edu,IST128,1,1,84
ah5707@nittany.edu,STAT319,1,1,61
ah5707@nittany.edu,DS120,2,1,90
ah6141@nittany.edu,DS120,1,1,97
ah6141@nittany.edu,STAT415,2,1,71
ah6141@nittany.edu,EE210,2,1,72
ah8299@nittany.edu,ECON101,1,1,71
ah8299@nittany.edu,DS220,1,1,90
ah8649@nittany.edu,MATH140,1,1,78
ah8649@nittany.edu,CMPEN411,2,1,66
aj1457@nittany.edu,STAT318,1,1,94
aj1457@nittany.edu,EE210,1,1,81
aj1457@nittany.edu,EE212,1,1,65
aj2734@nittany.edu,CMPSC461,2,1,99
aj2734@nittany.edu,CMPEN270,1,1,65
aj2734@nittany.edu,MATH141,2,1,92
aj3787@nittany.edu,CMPSC461,2,1,89
aj3787@nittany.edu,DS220,1,1,71
aj3787@nittany.edu,CMPEN362,2,1,97
