course_id,post_no,student_email,post_info
CSE583,1,rr8243@nittany.edu,Homework 1 for CSE583?
CMPSC431W,1,ld4137@nittany.edu,Exam for CMPSC431W?
CMPSC465,1,dm4287@nittany.edu,Homework 1 for CMPSC465?
CMPSC475,1,fs1546@nittany.edu,Exam for CMPSC475?
CMPSC131,1,jr8665@nittany.edu,Homework 1 for CMPSC131?
CMPSC221,1,cg4965@nittany.edu,Exam for CMPSC221?
CMPSC311,1,mf6881@nittany.edu,Homework 1 for CMPSC311?
CMPEN331,1,ih9335@nittany.edu,Exam for CMPEN331?
CMPEN362,1,pb8346@nittany.edu,Homework 1 for CMPEN362?
CMPEN431,1,lh7203@nittany.edu,Exam for CMPEN431?
CMPEN454,1,nb5135@nittany.edu,Homework 1 for CMPEN454?
EE211,1,mc9149@nittany.edu,Exam for EE211?
EE311,1,sn9491@nittany.edu,Homework 1 for EE311?
EE330,1,lb6520@nittany.edu,Exam for EE330?
EE352,1,js8165@nittany.edu,Homework 1 for EE352?
MATH140,1,lk7361@nittany.edu,Exam for MATH140?
MATH230,1,af8503@nittany.edu,Homework 1 for MATH230?
PHYS211,1,lt8326@nittany.edu,Exam for PHYS211?
PHYS213,1,fb4575@nittany.edu,Homework 1 for PHYS213?
STAT318,1,ca5845@nittany.edu,Exam for STAT318?
STAT414,1,ds8193@nittany.edu,Homework 1 for STAT414?
ECON101,1,sg4622@nittany.edu,Exam for ECON101?
ECON201,1,sg9224@nittany.edu,Homework 1 for ECON201?
CHEM111,1,mj2446@nittany.edu,Exam for CHEM111?
IST110,1,dl4708@nittany.edu,Homework 1 for IST110?
IST128,1,mg8599@nittany.edu,Exam for IST128?
DS120,1,rh2046@nittany.edu,Homework 1 for DS120?
