prof_email,teaching_team_id
rs84@nittany.edu,1
fr23@nittany.edu,2
wp45@nittany.edu,3
tj11@nittany.edu,4
ds51@nittany.edu,5
ab29@nittany.edu,6
mh33@nittany.edu,7
jw68@nittany.edu,8
rr63@nittany.edu,9
ff47@nittany.edu,10
bb77@nittany.edu,11
ar69@nittany.edu,12
re79@nittany.edu,13
mp11@nittany.edu,14
sw32@nittany.edu,15
hp75@nittany.edu,16
br31@nittany.edu,17
cj88@nittany.edu,18
kh18@nittany.edu,19
wm35@nittany.edu,20
as52@nittany.edu,21
ma43@nittany.edu,22
dc80@nittany.edu,23
rc19@nittany.edu,24
wc77@nittany.edu,25
rp45@nittany.edu,26
kb76@nittany.edu,27
bm79@nittany.edu,28
bs39@nittany.edu,29
gb44@nittany.edu,30
rp85@nittany.edu,31
rs62@nittany.edu,32
lt47@nittany.edu,33
kn67@nittany.edu,34
rr82@nittany.edu,35
jc66@nittany.edu,36
nw51@nittany.edu,37
hl43@nittany.edu,38
cp54@nittany.edu,39
aa18@nittany.edu,40
cy98@nittany.edu,41
sc45@nittany.edu,42
km14@nittany.edu,43
mh50@nittany.edu,44
bh63@nittany.edu,45
rf73@nittany.edu,46
fp60@nittany.edu,47
nh89@nittany.edu,48
em34@nittany.edu,49
vh43@nittany.edu,50
lg14@nittany.edu,51
jm33@nittany.edu,52
cg89@nittany.edu,53
dw78@nittany.edu,54
